userId,group,item,responseNo,checked
6d1b18bc3805421ba0d947e135a2504b,1,age,1,0
6d1b18bc3805421ba0d947e135a2504b,1,age,2,1
6d1b18bc3805421ba0d947e135a2504b,1,age,3,0
6d1b18bc3805421ba0d947e135a2504b,1,age,4,0
6d1b18bc3805421ba0d947e135a2504b,1,age,5,0
6d1b18bc3805421ba0d947e135a2504b,1,age,6,0
6d1b18bc3805421ba0d947e135a2504b,1,age,7,0
6d1b18bc3805421ba0d947e135a2504b,1,gender,1,0
6d1b18bc3805421ba0d947e135a2504b,1,gender,2,1
6d1b18bc3805421ba0d947e135a2504b,1,gender,3,0
6d1b18bc3805421ba0d947e135a2504b,1,gender,4,0
6d1b18bc3805421ba0d947e135a2504b,1,gender,5,0
6d1b18bc3805421ba0d947e135a2504b,1,gender,6,0
6d1b18bc3805421ba0d947e135a2504b,1,gender,7,0
669914495f4a421fa14f0fc62d7cce66,0,age,1,0
669914495f4a421fa14f0fc62d7cce66,0,age,2,0
669914495f4a421fa14f0fc62d7cce66,0,age,3,1
669914495f4a421fa14f0fc62d7cce66,0,age,4,0
669914495f4a421fa14f0fc62d7cce66,0,age,5,0
669914495f4a421fa14f0fc62d7cce66,0,age,6,0
669914495f4a421fa14f0fc62d7cce66,0,age,7,0
669914495f4a421fa14f0fc62d7cce66,0,gender,1,0
669914495f4a421fa14f0fc62d7cce66,0,gender,2,1
669914495f4a421fa14f0fc62d7cce66,0,gender,3,0
669914495f4a421fa14f0fc62d7cce66,0,gender,4,0
669914495f4a421fa14f0fc62d7cce66,0,gender,5,0
669914495f4a421fa14f0fc62d7cce66,0,gender,6,0
669914495f4a421fa14f0fc62d7cce66,0,gender,7,0
0b76dd21a2dd43d5bb9ca87c14898d1d,0,age,1,0
0b76dd21a2dd43d5bb9ca87c14898d1d,0,age,2,0
0b76dd21a2dd43d5bb9ca87c14898d1d,0,age,3,0
0b76dd21a2dd43d5bb9ca87c14898d1d,0,age,4,0
0b76dd21a2dd43d5bb9ca87c14898d1d,0,age,5,1
0b76dd21a2dd43d5bb9ca87c14898d1d,0,age,6,0
0b76dd21a2dd43d5bb9ca87c14898d1d,0,age,7,0
0b76dd21a2dd43d5bb9ca87c14898d1d,0,gender,1,1
0b76dd21a2dd43d5bb9ca87c14898d1d,0,gender,2,0
0b76dd21a2dd43d5bb9ca87c14898d1d,0,gender,3,0
0b76dd21a2dd43d5bb9ca87c14898d1d,0,gender,4,0
0b76dd21a2dd43d5bb9ca87c14898d1d,0,gender,5,0
0b76dd21a2dd43d5bb9ca87c14898d1d,0,gender,6,0
0b76dd21a2dd43d5bb9ca87c14898d1d,0,gender,7,0
459c811e7dd440a79175ee204f709a86,1,age,1,0
459c811e7dd440a79175ee204f709a86,1,age,2,0
459c811e7dd440a79175ee204f709a86,1,age,3,0
459c811e7dd440a79175ee204f709a86,1,age,4,1
459c811e7dd440a79175ee204f709a86,1,age,5,0
459c811e7dd440a79175ee204f709a86,1,age,6,0
459c811e7dd440a79175ee204f709a86,1,age,7,0
459c811e7dd440a79175ee204f709a86,1,gender,1,0
459c811e7dd440a79175ee204f709a86,1,gender,2,1
459c811e7dd440a79175ee204f709a86,1,gender,3,0
459c811e7dd440a79175ee204f709a86,1,gender,4,0
459c811e7dd440a79175ee204f709a86,1,gender,5,0
459c811e7dd440a79175ee204f709a86,1,gender,6,0
459c811e7dd440a79175ee204f709a86,1,gender,7,0
a64c8f5215d3401190fdcc51465adaed,1,age,1,0
a64c8f5215d3401190fdcc51465adaed,1,age,2,1
a64c8f5215d3401190fdcc51465adaed,1,age,3,0
a64c8f5215d3401190fdcc51465adaed,1,age,4,0
a64c8f5215d3401190fdcc51465adaed,1,age,5,0
a64c8f5215d3401190fdcc51465adaed,1,age,6,0
a64c8f5215d3401190fdcc51465adaed,1,age,7,0
a64c8f5215d3401190fdcc51465adaed,1,gender,1,0
a64c8f5215d3401190fdcc51465adaed,1,gender,2,1
a64c8f5215d3401190fdcc51465adaed,1,gender,3,0
a64c8f5215d3401190fdcc51465adaed,1,gender,4,0
a64c8f5215d3401190fdcc51465adaed,1,gender,5,0
a64c8f5215d3401190fdcc51465adaed,1,gender,6,0
a64c8f5215d3401190fdcc51465adaed,1,gender,7,0
64c362d70ba44c81adfd809aca66c194,0,age,1,0
64c362d70ba44c81adfd809aca66c194,0,age,2,0
64c362d70ba44c81adfd809aca66c194,0,age,3,1
64c362d70ba44c81adfd809aca66c194,0,age,4,0
64c362d70ba44c81adfd809aca66c194,0,age,5,0
64c362d70ba44c81adfd809aca66c194,0,age,6,0
64c362d70ba44c81adfd809aca66c194,0,age,7,0
64c362d70ba44c81adfd809aca66c194,0,gender,1,0
64c362d70ba44c81adfd809aca66c194,0,gender,2,1
64c362d70ba44c81adfd809aca66c194,0,gender,3,0
64c362d70ba44c81adfd809aca66c194,0,gender,4,0
64c362d70ba44c81adfd809aca66c194,0,gender,5,0
64c362d70ba44c81adfd809aca66c194,0,gender,6,0
64c362d70ba44c81adfd809aca66c194,0,gender,7,0
f5c5f1e9ad7b4ee8868067ec6241413b,1,age,1,0
f5c5f1e9ad7b4ee8868067ec6241413b,1,age,2,0
f5c5f1e9ad7b4ee8868067ec6241413b,1,age,3,1
f5c5f1e9ad7b4ee8868067ec6241413b,1,age,4,0
f5c5f1e9ad7b4ee8868067ec6241413b,1,age,5,0
f5c5f1e9ad7b4ee8868067ec6241413b,1,age,6,0
f5c5f1e9ad7b4ee8868067ec6241413b,1,age,7,0
f5c5f1e9ad7b4ee8868067ec6241413b,1,gender,1,0
f5c5f1e9ad7b4ee8868067ec6241413b,1,gender,2,1
f5c5f1e9ad7b4ee8868067ec6241413b,1,gender,3,0
f5c5f1e9ad7b4ee8868067ec6241413b,1,gender,4,0
f5c5f1e9ad7b4ee8868067ec6241413b,1,gender,5,0
f5c5f1e9ad7b4ee8868067ec6241413b,1,gender,6,0
f5c5f1e9ad7b4ee8868067ec6241413b,1,gender,7,0
160cad9d27d14d64b5656d30047a966b,1,age,1,0
160cad9d27d14d64b5656d30047a966b,1,age,2,1
160cad9d27d14d64b5656d30047a966b,1,age,3,0
160cad9d27d14d64b5656d30047a966b,1,age,4,0
160cad9d27d14d64b5656d30047a966b,1,age,5,0
160cad9d27d14d64b5656d30047a966b,1,age,6,0
160cad9d27d14d64b5656d30047a966b,1,age,7,0
160cad9d27d14d64b5656d30047a966b,1,gender,1,1
160cad9d27d14d64b5656d30047a966b,1,gender,2,0
160cad9d27d14d64b5656d30047a966b,1,gender,3,0
160cad9d27d14d64b5656d30047a966b,1,gender,4,0
160cad9d27d14d64b5656d30047a966b,1,gender,5,0
160cad9d27d14d64b5656d30047a966b,1,gender,6,0
160cad9d27d14d64b5656d30047a966b,1,gender,7,0
366946ee693842639b3c724ef9ae8eef,0,age,1,0
366946ee693842639b3c724ef9ae8eef,0,age,2,0
366946ee693842639b3c724ef9ae8eef,0,age,3,1
366946ee693842639b3c724ef9ae8eef,0,age,4,0
366946ee693842639b3c724ef9ae8eef,0,age,5,0
366946ee693842639b3c724ef9ae8eef,0,age,6,0
366946ee693842639b3c724ef9ae8eef,0,age,7,0
366946ee693842639b3c724ef9ae8eef,0,gender,1,0
366946ee693842639b3c724ef9ae8eef,0,gender,2,1
366946ee693842639b3c724ef9ae8eef,0,gender,3,0
366946ee693842639b3c724ef9ae8eef,0,gender,4,0
366946ee693842639b3c724ef9ae8eef,0,gender,5,0
366946ee693842639b3c724ef9ae8eef,0,gender,6,0
366946ee693842639b3c724ef9ae8eef,0,gender,7,0
