userId,group,item,responseNo,checked
c73a172ee44f4005aeafc8bae23faa70,1,age,1,0
c73a172ee44f4005aeafc8bae23faa70,1,age,2,0
c73a172ee44f4005aeafc8bae23faa70,1,age,3,1
c73a172ee44f4005aeafc8bae23faa70,1,age,4,0
c73a172ee44f4005aeafc8bae23faa70,1,age,5,0
c73a172ee44f4005aeafc8bae23faa70,1,age,6,0
c73a172ee44f4005aeafc8bae23faa70,1,age,7,0
c73a172ee44f4005aeafc8bae23faa70,1,gender,1,0
c73a172ee44f4005aeafc8bae23faa70,1,gender,2,1
c73a172ee44f4005aeafc8bae23faa70,1,gender,3,0
c73a172ee44f4005aeafc8bae23faa70,1,gender,4,0
c73a172ee44f4005aeafc8bae23faa70,1,gender,5,0
c73a172ee44f4005aeafc8bae23faa70,1,gender,6,0
c73a172ee44f4005aeafc8bae23faa70,1,gender,7,0
9711c8bb53bd4fd99042b2d0c0dfbab2,0,age,1,0
9711c8bb53bd4fd99042b2d0c0dfbab2,0,age,2,0
9711c8bb53bd4fd99042b2d0c0dfbab2,0,age,3,1
9711c8bb53bd4fd99042b2d0c0dfbab2,0,age,4,0
9711c8bb53bd4fd99042b2d0c0dfbab2,0,age,5,0
9711c8bb53bd4fd99042b2d0c0dfbab2,0,age,6,0
9711c8bb53bd4fd99042b2d0c0dfbab2,0,age,7,0
9711c8bb53bd4fd99042b2d0c0dfbab2,0,gender,1,1
9711c8bb53bd4fd99042b2d0c0dfbab2,0,gender,2,0
9711c8bb53bd4fd99042b2d0c0dfbab2,0,gender,3,0
9711c8bb53bd4fd99042b2d0c0dfbab2,0,gender,4,0
9711c8bb53bd4fd99042b2d0c0dfbab2,0,gender,5,0
9711c8bb53bd4fd99042b2d0c0dfbab2,0,gender,6,0
9711c8bb53bd4fd99042b2d0c0dfbab2,0,gender,7,0
964e4aaba5d046a3a473169b6eb5afd5,0,age,1,0
964e4aaba5d046a3a473169b6eb5afd5,0,age,2,0
964e4aaba5d046a3a473169b6eb5afd5,0,age,3,1
964e4aaba5d046a3a473169b6eb5afd5,0,age,4,0
964e4aaba5d046a3a473169b6eb5afd5,0,age,5,0
964e4aaba5d046a3a473169b6eb5afd5,0,age,6,0
964e4aaba5d046a3a473169b6eb5afd5,0,age,7,0
964e4aaba5d046a3a473169b6eb5afd5,0,gender,1,1
964e4aaba5d046a3a473169b6eb5afd5,0,gender,2,0
964e4aaba5d046a3a473169b6eb5afd5,0,gender,3,0
964e4aaba5d046a3a473169b6eb5afd5,0,gender,4,0
964e4aaba5d046a3a473169b6eb5afd5,0,gender,5,0
964e4aaba5d046a3a473169b6eb5afd5,0,gender,6,0
964e4aaba5d046a3a473169b6eb5afd5,0,gender,7,0
7e4b4fe85d6b445597e0d7e71a6f00c8,1,age,1,0
7e4b4fe85d6b445597e0d7e71a6f00c8,1,age,2,0
7e4b4fe85d6b445597e0d7e71a6f00c8,1,age,3,1
7e4b4fe85d6b445597e0d7e71a6f00c8,1,age,4,0
7e4b4fe85d6b445597e0d7e71a6f00c8,1,age,5,0
7e4b4fe85d6b445597e0d7e71a6f00c8,1,age,6,0
7e4b4fe85d6b445597e0d7e71a6f00c8,1,age,7,0
7e4b4fe85d6b445597e0d7e71a6f00c8,1,gender,1,0
7e4b4fe85d6b445597e0d7e71a6f00c8,1,gender,2,1
7e4b4fe85d6b445597e0d7e71a6f00c8,1,gender,3,0
7e4b4fe85d6b445597e0d7e71a6f00c8,1,gender,4,0
7e4b4fe85d6b445597e0d7e71a6f00c8,1,gender,5,0
7e4b4fe85d6b445597e0d7e71a6f00c8,1,gender,6,0
7e4b4fe85d6b445597e0d7e71a6f00c8,1,gender,7,0
e945b7829bd64551b39e4f963525b019,0,age,1,0
e945b7829bd64551b39e4f963525b019,0,age,2,0
e945b7829bd64551b39e4f963525b019,0,age,3,0
e945b7829bd64551b39e4f963525b019,0,age,4,1
e945b7829bd64551b39e4f963525b019,0,age,5,0
e945b7829bd64551b39e4f963525b019,0,age,6,0
e945b7829bd64551b39e4f963525b019,0,age,7,0
e945b7829bd64551b39e4f963525b019,0,gender,1,0
e945b7829bd64551b39e4f963525b019,0,gender,2,1
e945b7829bd64551b39e4f963525b019,0,gender,3,0
e945b7829bd64551b39e4f963525b019,0,gender,4,0
e945b7829bd64551b39e4f963525b019,0,gender,5,0
e945b7829bd64551b39e4f963525b019,0,gender,6,0
e945b7829bd64551b39e4f963525b019,0,gender,7,0
11b5161128cc450d9f1238ed44c4cec2,1,age,1,0
11b5161128cc450d9f1238ed44c4cec2,1,age,2,0
11b5161128cc450d9f1238ed44c4cec2,1,age,3,0
11b5161128cc450d9f1238ed44c4cec2,1,age,4,1
11b5161128cc450d9f1238ed44c4cec2,1,age,5,0
11b5161128cc450d9f1238ed44c4cec2,1,age,6,0
11b5161128cc450d9f1238ed44c4cec2,1,age,7,0
11b5161128cc450d9f1238ed44c4cec2,1,gender,1,0
11b5161128cc450d9f1238ed44c4cec2,1,gender,2,1
11b5161128cc450d9f1238ed44c4cec2,1,gender,3,0
11b5161128cc450d9f1238ed44c4cec2,1,gender,4,0
11b5161128cc450d9f1238ed44c4cec2,1,gender,5,0
11b5161128cc450d9f1238ed44c4cec2,1,gender,6,0
11b5161128cc450d9f1238ed44c4cec2,1,gender,7,0
bc4b84f131c24fafad926ce4429c0dfe,1,age,1,0
bc4b84f131c24fafad926ce4429c0dfe,1,age,2,1
bc4b84f131c24fafad926ce4429c0dfe,1,age,3,0
bc4b84f131c24fafad926ce4429c0dfe,1,age,4,0
bc4b84f131c24fafad926ce4429c0dfe,1,age,5,0
bc4b84f131c24fafad926ce4429c0dfe,1,age,6,0
bc4b84f131c24fafad926ce4429c0dfe,1,age,7,0
bc4b84f131c24fafad926ce4429c0dfe,1,gender,1,1
bc4b84f131c24fafad926ce4429c0dfe,1,gender,2,0
bc4b84f131c24fafad926ce4429c0dfe,1,gender,3,0
bc4b84f131c24fafad926ce4429c0dfe,1,gender,4,0
bc4b84f131c24fafad926ce4429c0dfe,1,gender,5,0
bc4b84f131c24fafad926ce4429c0dfe,1,gender,6,0
bc4b84f131c24fafad926ce4429c0dfe,1,gender,7,0
8b74dcaa6c5c4c77876c54e0bdb3690a,0,age,1,0
8b74dcaa6c5c4c77876c54e0bdb3690a,0,age,2,0
8b74dcaa6c5c4c77876c54e0bdb3690a,0,age,3,1
8b74dcaa6c5c4c77876c54e0bdb3690a,0,age,4,0
8b74dcaa6c5c4c77876c54e0bdb3690a,0,age,5,0
8b74dcaa6c5c4c77876c54e0bdb3690a,0,age,6,0
8b74dcaa6c5c4c77876c54e0bdb3690a,0,age,7,0
8b74dcaa6c5c4c77876c54e0bdb3690a,0,gender,1,1
8b74dcaa6c5c4c77876c54e0bdb3690a,0,gender,2,0
8b74dcaa6c5c4c77876c54e0bdb3690a,0,gender,3,0
8b74dcaa6c5c4c77876c54e0bdb3690a,0,gender,4,0
8b74dcaa6c5c4c77876c54e0bdb3690a,0,gender,5,0
8b74dcaa6c5c4c77876c54e0bdb3690a,0,gender,6,0
8b74dcaa6c5c4c77876c54e0bdb3690a,0,gender,7,0
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,age,1,0
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,age,2,1
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,age,3,0
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,age,4,0
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,age,5,0
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,age,6,0
54c68e9b3c9b41b4b7fe9a2bc6e68876,1,age,7,0
