userId,group,BlockNr,TrialNr,timeAgreementScene,timeStartScene,timeStableUntilFeeding,timeFeedbackScene
669914495f4a421fa14f0fc62d7cce66,0,1,1,69718,79824,65493,37643
669914495f4a421fa14f0fc62d7cce66,0,1,2,69718,79824,32612,37643
669914495f4a421fa14f0fc62d7cce66,0,2,3,69718,79824,20081,22287
669914495f4a421fa14f0fc62d7cce66,0,2,4,69718,79824,22120,22287
669914495f4a421fa14f0fc62d7cce66,0,3,5,69718,79824,8010,19413
669914495f4a421fa14f0fc62d7cce66,0,3,6,69718,79824,10515,19413
669914495f4a421fa14f0fc62d7cce66,0,4,7,69718,79824,5628,36221
669914495f4a421fa14f0fc62d7cce66,0,4,8,69718,79824,11209,36221
669914495f4a421fa14f0fc62d7cce66,0,5,9,69718,79824,4837,14474
669914495f4a421fa14f0fc62d7cce66,0,5,10,69718,79824,5499,14474
669914495f4a421fa14f0fc62d7cce66,0,6,11,69718,79824,13326,10907
669914495f4a421fa14f0fc62d7cce66,0,6,12,69718,79824,9811,10907
6d1b18bc3805421ba0d947e135a2504b,1,1,1,1755,21986,3203,11196
6d1b18bc3805421ba0d947e135a2504b,1,1,2,1755,21986,3726,11196
6d1b18bc3805421ba0d947e135a2504b,1,2,3,1755,21986,18361,10918
6d1b18bc3805421ba0d947e135a2504b,1,2,4,1755,21986,10635,10918
6d1b18bc3805421ba0d947e135a2504b,1,3,5,1755,21986,10305,11084
6d1b18bc3805421ba0d947e135a2504b,1,3,6,1755,21986,5121,11084
6d1b18bc3805421ba0d947e135a2504b,1,4,7,1755,21986,5310,10960
6d1b18bc3805421ba0d947e135a2504b,1,4,8,1755,21986,9042,10960
6d1b18bc3805421ba0d947e135a2504b,1,5,9,1755,21986,6217,11150
6d1b18bc3805421ba0d947e135a2504b,1,5,10,1755,21986,857,11150
6d1b18bc3805421ba0d947e135a2504b,1,6,11,1755,21986,7261,10661
6d1b18bc3805421ba0d947e135a2504b,1,6,12,1755,21986,7072,10661
0b76dd21a2dd43d5bb9ca87c14898d1d,0,1,1,50579,58421,24665,13160
0b76dd21a2dd43d5bb9ca87c14898d1d,0,1,2,50579,58421,13535,13160
0b76dd21a2dd43d5bb9ca87c14898d1d,0,2,3,50579,58421,2920,17301
0b76dd21a2dd43d5bb9ca87c14898d1d,0,2,4,50579,58421,18799,17301
0b76dd21a2dd43d5bb9ca87c14898d1d,0,3,5,50579,58421,5103,11135
0b76dd21a2dd43d5bb9ca87c14898d1d,0,3,6,50579,58421,14929,11135
0b76dd21a2dd43d5bb9ca87c14898d1d,0,4,7,50579,58421,2262,10897
0b76dd21a2dd43d5bb9ca87c14898d1d,0,4,8,50579,58421,48635,10897
0b76dd21a2dd43d5bb9ca87c14898d1d,0,5,9,50579,58421,3272,11155
0b76dd21a2dd43d5bb9ca87c14898d1d,0,5,10,50579,58421,4018,11155
0b76dd21a2dd43d5bb9ca87c14898d1d,0,6,11,50579,58421,3318,11295
0b76dd21a2dd43d5bb9ca87c14898d1d,0,6,12,50579,58421,7869,11295
a64c8f5215d3401190fdcc51465adaed,1,1,1,4500,25678,18992,11023
a64c8f5215d3401190fdcc51465adaed,1,1,2,4500,25678,15678,11023
a64c8f5215d3401190fdcc51465adaed,1,2,3,4500,25678,16208,10993
a64c8f5215d3401190fdcc51465adaed,1,2,4,4500,25678,18943,10993
a64c8f5215d3401190fdcc51465adaed,1,3,5,4500,25678,10239,11301
a64c8f5215d3401190fdcc51465adaed,1,3,6,4500,25678,14644,11301
a64c8f5215d3401190fdcc51465adaed,1,4,7,4500,25678,6287,11209
a64c8f5215d3401190fdcc51465adaed,1,4,8,4500,25678,6890,11209
a64c8f5215d3401190fdcc51465adaed,1,5,9,4500,25678,6411,10732
a64c8f5215d3401190fdcc51465adaed,1,5,10,4500,25678,8655,10732
a64c8f5215d3401190fdcc51465adaed,1,6,11,4500,25678,8515,10871
a64c8f5215d3401190fdcc51465adaed,1,6,12,4500,25678,4196,10871
459c811e7dd440a79175ee204f709a86,1,1,1,5019,22879,16577,10949
459c811e7dd440a79175ee204f709a86,1,1,2,5019,22879,6551,10949
459c811e7dd440a79175ee204f709a86,1,2,3,5019,22879,3337,10501
459c811e7dd440a79175ee204f709a86,1,2,4,5019,22879,7331,10501
459c811e7dd440a79175ee204f709a86,1,3,5,5019,22879,3945,10589
459c811e7dd440a79175ee204f709a86,1,3,6,5019,22879,6790,10589
459c811e7dd440a79175ee204f709a86,1,4,7,5019,22879,5034,10595
459c811e7dd440a79175ee204f709a86,1,4,8,5019,22879,12485,10595
459c811e7dd440a79175ee204f709a86,1,5,9,5019,22879,3021,10880
459c811e7dd440a79175ee204f709a86,1,5,10,5019,22879,5740,10880
459c811e7dd440a79175ee204f709a86,1,6,11,5019,22879,3374,10754
459c811e7dd440a79175ee204f709a86,1,6,12,5019,22879,5790,10754
f5c5f1e9ad7b4ee8868067ec6241413b,1,1,1,5360,63760,59454,43925
f5c5f1e9ad7b4ee8868067ec6241413b,1,1,2,5360,63760,23343,43925
f5c5f1e9ad7b4ee8868067ec6241413b,1,2,3,5360,63760,10565,13762
f5c5f1e9ad7b4ee8868067ec6241413b,1,2,4,5360,63760,20405,13762
f5c5f1e9ad7b4ee8868067ec6241413b,1,3,5,5360,63760,19110,11693
f5c5f1e9ad7b4ee8868067ec6241413b,1,3,6,5360,63760,21580,11693
f5c5f1e9ad7b4ee8868067ec6241413b,1,4,7,5360,63760,21734,11239
f5c5f1e9ad7b4ee8868067ec6241413b,1,4,8,5360,63760,18174,11239
f5c5f1e9ad7b4ee8868067ec6241413b,1,5,9,5360,63760,19223,11328
f5c5f1e9ad7b4ee8868067ec6241413b,1,5,10,5360,63760,19524,11328
f5c5f1e9ad7b4ee8868067ec6241413b,1,6,11,5360,63760,15069,11487
f5c5f1e9ad7b4ee8868067ec6241413b,1,6,12,5360,63760,14305,11487
64c362d70ba44c81adfd809aca66c194,0,1,1,808,21661,11666,17445
64c362d70ba44c81adfd809aca66c194,0,1,2,808,21661,8756,17445
64c362d70ba44c81adfd809aca66c194,0,2,3,808,21661,9101,10863
64c362d70ba44c81adfd809aca66c194,0,2,4,808,21661,7394,10863
64c362d70ba44c81adfd809aca66c194,0,3,5,808,21661,8521,11513
64c362d70ba44c81adfd809aca66c194,0,3,6,808,21661,9195,11513
64c362d70ba44c81adfd809aca66c194,0,4,7,808,21661,3743,10845
64c362d70ba44c81adfd809aca66c194,0,4,8,808,21661,6547,10845
64c362d70ba44c81adfd809aca66c194,0,5,9,808,21661,4428,10989
64c362d70ba44c81adfd809aca66c194,0,5,10,808,21661,6032,10989
64c362d70ba44c81adfd809aca66c194,0,6,11,808,21661,4684,11161
64c362d70ba44c81adfd809aca66c194,0,6,12,808,21661,4333,11161
160cad9d27d14d64b5656d30047a966b,1,1,1,1834,24721,11414,11031
160cad9d27d14d64b5656d30047a966b,1,1,2,1834,24721,34430,11031
160cad9d27d14d64b5656d30047a966b,1,2,3,1834,24721,32789,20829
160cad9d27d14d64b5656d30047a966b,1,2,4,1834,24721,1748,20829
160cad9d27d14d64b5656d30047a966b,1,3,5,1834,24721,9202,23424
160cad9d27d14d64b5656d30047a966b,1,3,6,1834,24721,8983,23424
160cad9d27d14d64b5656d30047a966b,1,4,7,1834,24721,6174,11335
160cad9d27d14d64b5656d30047a966b,1,4,8,1834,24721,5370,11335
160cad9d27d14d64b5656d30047a966b,1,5,9,1834,24721,3585,11616
160cad9d27d14d64b5656d30047a966b,1,5,10,1834,24721,5886,11616
160cad9d27d14d64b5656d30047a966b,1,6,11,1834,24721,4634,14085
160cad9d27d14d64b5656d30047a966b,1,6,12,1834,24721,3320,14085
6e72443e324b485e965b638b004004d3,0,1,1,6278,26409,15321,24334
6e72443e324b485e965b638b004004d3,0,1,2,6278,26409,12448,24334
6e72443e324b485e965b638b004004d3,0,2,3,6278,26409,15872,19713
6e72443e324b485e965b638b004004d3,0,2,4,6278,26409,6622,19713
6e72443e324b485e965b638b004004d3,0,3,5,6278,26409,14692,11765
6e72443e324b485e965b638b004004d3,0,3,6,6278,26409,5770,11765
6e72443e324b485e965b638b004004d3,0,4,7,6278,26409,4390,16818
6e72443e324b485e965b638b004004d3,0,4,8,6278,26409,15200,16818
6e72443e324b485e965b638b004004d3,0,5,9,6278,26409,9449,10914
