userId,group,BlockNr,TrialNr,timeAgreementScene,timeStartScene,timeStableUntilFeeding,timeFeedbackScene
15b6a535152f4a0780c4ac17381395eb,0,1,1,1357,20817,6487,10938
15b6a535152f4a0780c4ac17381395eb,0,1,2,1357,20817,3229,10938
c73a172ee44f4005aeafc8bae23faa70,1,1,1,6082,24760,20803,11080
c73a172ee44f4005aeafc8bae23faa70,1,1,2,6082,24760,5865,11080
c73a172ee44f4005aeafc8bae23faa70,1,2,3,6082,24760,5290,11087
c73a172ee44f4005aeafc8bae23faa70,1,2,4,6082,24760,14924,11087
c73a172ee44f4005aeafc8bae23faa70,1,3,5,6082,24760,9540,11106
c73a172ee44f4005aeafc8bae23faa70,1,3,6,6082,24760,11236,11106
c73a172ee44f4005aeafc8bae23faa70,1,4,7,6082,24760,8729,11145
c73a172ee44f4005aeafc8bae23faa70,1,4,8,6082,24760,11846,11145
c73a172ee44f4005aeafc8bae23faa70,1,5,9,6082,24760,6978,11251
c73a172ee44f4005aeafc8bae23faa70,1,5,10,6082,24760,9389,11251
c73a172ee44f4005aeafc8bae23faa70,1,6,11,6082,24760,7914,11446
c73a172ee44f4005aeafc8bae23faa70,1,6,12,6082,24760,10087,11446
9711c8bb53bd4fd99042b2d0c0dfbab2,0,1,1,1948,21278,16344,10901
9711c8bb53bd4fd99042b2d0c0dfbab2,0,1,2,1948,21278,20249,10901
9711c8bb53bd4fd99042b2d0c0dfbab2,0,2,3,1948,21278,7356,10825
9711c8bb53bd4fd99042b2d0c0dfbab2,0,2,4,1948,21278,5555,10825
9711c8bb53bd4fd99042b2d0c0dfbab2,0,3,5,1948,21278,6647,11932
9711c8bb53bd4fd99042b2d0c0dfbab2,0,3,6,1948,21278,8450,11932
9711c8bb53bd4fd99042b2d0c0dfbab2,0,4,7,1948,21278,11300,11022
9711c8bb53bd4fd99042b2d0c0dfbab2,0,4,8,1948,21278,13626,11022
9711c8bb53bd4fd99042b2d0c0dfbab2,0,5,9,1948,21278,8819,11167
9711c8bb53bd4fd99042b2d0c0dfbab2,0,5,10,1948,21278,9524,11167
9711c8bb53bd4fd99042b2d0c0dfbab2,0,6,11,1948,21278,10019,10764
9711c8bb53bd4fd99042b2d0c0dfbab2,0,6,12,1948,21278,9708,10764
