userId,group,trialNo,userInput,shubNo
6d1b18bc3805421ba0d947e135a2504b,1,3,3,8
669914495f4a421fa14f0fc62d7cce66,0,3,8,8
6d1b18bc3805421ba0d947e135a2504b,1,7,35,2
669914495f4a421fa14f0fc62d7cce66,0,7,3,3
0b76dd21a2dd43d5bb9ca87c14898d1d,0,3,6,8
0b76dd21a2dd43d5bb9ca87c14898d1d,0,7,2,2
459c811e7dd440a79175ee204f709a86,1,3,8,8
a64c8f5215d3401190fdcc51465adaed,1,3,8,8
459c811e7dd440a79175ee204f709a86,1,7,2,2
64c362d70ba44c81adfd809aca66c194,0,3,8,8
a64c8f5215d3401190fdcc51465adaed,1,7,2,2
64c362d70ba44c81adfd809aca66c194,0,7,2,2
f5c5f1e9ad7b4ee8868067ec6241413b,1,3,8,8
f5c5f1e9ad7b4ee8868067ec6241413b,1,7,2,2
160cad9d27d14d64b5656d30047a966b,1,3,3,9
160cad9d27d14d64b5656d30047a966b,1,7,4,2
6e72443e324b485e965b638b004004d3,0,3,8,8
6e72443e324b485e965b638b004004d3,0,7,2,2
366946ee693842639b3c724ef9ae8eef,0,3,14,8
366946ee693842639b3c724ef9ae8eef,0,7,2,2
366946ee693842639b3c724ef9ae8eef,0,7,2,2
638452cf0f3047eab4fcd99150d910d7,0,3,8,8
638452cf0f3047eab4fcd99150d910d7,0,7,2,2
dc03d5e3cf2a4d6d8da8372eba82df4f,1,3,8,8
9650434c8ed647728881952788235552,0,3,8,8
dc03d5e3cf2a4d6d8da8372eba82df4f,1,7,2,2
21af205028cd4cc9b0dd1d768f8fbab0,1,3,8,8
cd1498b98a2048e68f38610fcfac3e04,1,3,8,8
9650434c8ed647728881952788235552,0,7,15,15
21af205028cd4cc9b0dd1d768f8fbab0,1,7,2,2
cd1498b98a2048e68f38610fcfac3e04,1,7,2,2
984434fa796d467eb9173437295ef9d1,0,3,8,8
984434fa796d467eb9173437295ef9d1,0,7,2,2
f5bddc6b0ca148c8bd01d4858f076f88,0,3,8,8
f5bddc6b0ca148c8bd01d4858f076f88,0,7,2,2
af29b378fc2f4eb6af4a2424caf58405,0,3,8,8
af29b378fc2f4eb6af4a2424caf58405,0,7,3,3
08f609f6e04b45ba947fb68f9d13c0dd,0,3,8,8
08f609f6e04b45ba947fb68f9d13c0dd,0,7,2,2
85b67a6f0a404efd883e2b54729b36d7,0,3,8,8
85b67a6f0a404efd883e2b54729b36d7,0,7,2,2
0da21c8e120a4b02a076ce27bcfca0da,1,3,8,8
0da21c8e120a4b02a076ce27bcfca0da,1,3,8,8
0da21c8e120a4b02a076ce27bcfca0da,1,7,2,2
ec6fd28362d144c79e1c23eceb8edbe6,0,3,8,8
ec6fd28362d144c79e1c23eceb8edbe6,0,7,2,2
96f52f1df03d404db649fbd36fb75e4e,0,3,8,8
96f52f1df03d404db649fbd36fb75e4e,0,7,2,2
3bd9bc57645f4cca8b9316103ef8dfdb,1,3,8,8
3bd9bc57645f4cca8b9316103ef8dfdb,1,7,2,2
b91fa852b9694a33b4cec880705a141b,0,3,8,8
174edadb3695415dba2bd76650eed065,1,3,8,8
174edadb3695415dba2bd76650eed065,1,3,8,8
174edadb3695415dba2bd76650eed065,1,7,2,2
93fd66c58ba14204b222526f1da76b23,1,3,8,8
93fd66c58ba14204b222526f1da76b23,1,7,2,2
8878b1b0c0e04a65bc6f0fa7795f6286,0,3,8,8
8878b1b0c0e04a65bc6f0fa7795f6286,0,7,2,2
22f19633de954db1b8e48a91aea2cc53,1,3,8,8
22f19633de954db1b8e48a91aea2cc53,1,7,2,2
22f19633de954db1b8e48a91aea2cc53,1,7,2,2
0518be41d21b48a99602c61a65f30e2e,1,3,8,8
0518be41d21b48a99602c61a65f30e2e,1,7,2,2
1291abe2d8fd4ed9adfac0043f6f0a2e,0,3,36,34
b7a989e07b9d4817b2bb26e496c1af6e,0,3,8,8
b7a989e07b9d4817b2bb26e496c1af6e,0,7,2,2
568993fda3cd4358912e538952c21877,0,3,32,32
352d5ed1d52947fea7a0fd88c99c1f93,0,3,8,8
568993fda3cd4358912e538952c21877,0,7,58,58
6de40772719d46318298f67bab3fd72f,1,3,8,8
352d5ed1d52947fea7a0fd88c99c1f93,0,7,2,2
6de40772719d46318298f67bab3fd72f,1,7,2,2
879435e726e6497eaded4823727ba941,1,3,8,8
c8894650ada948e5a27d84d6aa905b7b,1,3,8,8
88080cf136764296b667bdea4c51c25c,1,3,8,8
c8894650ada948e5a27d84d6aa905b7b,1,7,2,2
88080cf136764296b667bdea4c51c25c,1,7,2,2
9dd5311de0c24bf0b0659666d29ab522,0,3,8,8
9dd5311de0c24bf0b0659666d29ab522,0,7,2,2
5f4cc849ffc24169928dc882a11c4221,0,3,8,8
5f4cc849ffc24169928dc882a11c4221,0,7,2,2
93d6d7392bc04e1aae925ef91731f1e1,0,3,8,8
93d6d7392bc04e1aae925ef91731f1e1,0,3,8,8
93d6d7392bc04e1aae925ef91731f1e1,0,7,16,16
